table_name,column_name,type,notes,related_tables,related_columns,edge_definition,alias_definition
significant_intercepts,report_number,TEXT,FK to general_information,,,,
significant_intercepts,from_m,TEXT,Starting depth of intercept (m),,,,
significant_intercepts,to_m,NUMERIC,Ending depth of intercept (m),,,,
significant_intercepts,interval_m,NUMERIC,Length of intercept (m),,,,
significant_intercepts,"Commodity name (e.g., Gold, Copper)",NUMERIC,grade,,,,
significant_intercepts,commodity,TEXT,"Grade value (e.g., 1.2)",,,,
significant_intercepts,"Unit of grade (e.g., g/t, %, ppm)",NUMERIC,lithology,,,,
significant_intercepts,unit,TEXT,Rock type where intercept occurred,,,,
significant_intercepts,alteration,TEXT,"Described alteration (e.g., sericitic)",,,,
significant_intercepts,mineralization_type,TEXT,"Type (e.g., vein, disseminated)",,,,
significant_intercepts,zone,TEXT,Deposit or drill target zone name,,,,
significant_intercepts,hole_purpose,TEXT,"Purpose (e.g., infill, step-out)",,,,
significant_intercepts,date_reported,TEXT,Date of reporting (from document),,,,
significant_intercepts,633,DATE,634,,,,
qps_table,report_number,TEXT (PK),FK to general_information,,,,
qps_table,Campaign start date,TEXT,Campaign end date,,,,
qps_table,start_date,DATE,purpose,,,,
qps_table,end_date,DATE,"Purpose of campaign (e.g., Infill, Step-out)",,,,
qps_table,drill_type,TEXT,"Type of drilling (e.g., Diamond, RC)",,,,
qps_table,metres_drilled,TEXT,Total metres drilled in campaign,,,,
qps_table,number_of_holes,NUMERIC,Number of drill holes completed,,,,
qps_table,area_targeted,INTEGER,Named area or zone targeted,,,,
qps_table,status,TEXT,Completed or Ongoing,,,,
qps_table,notable_intercepts_reported,TEXT,Whether significant results were reported,,,,
qps_table,target_name,BOOLEAN,Exploration target name or label,,,,
resource_table,report_number,TEXT (PK),Links to general_information,,,,
resource_table,report_number_B,text,Target report number,,,,
resource_table,source_report,TEXT,"e.g., report A",,,,
resource_table,target_report,TEXT,"e.g., report B",,,,
resource_table,relationship_type,TEXT,"e.g., ""similar metallurgy"", ""shared jurisdiction""",,,,
cost_financial_parameters,report_number,TEXT (PK),Links to general_information,,,,
cost_financial_parameters,name,TEXT,Qualified Person's full name,,,,
cost_financial_parameters,designation,TEXT,"Designation (e.g., P.Eng., Ph.D., etc.)",,,,
cost_financial_parameters,field_of_expertise,TEXT,"Field of expertise (e.g., Mining Engineer, Geologist)",,,,
