table_name,column_name,type,notes
general_information,report_number,TEXT (PK),Unique ID generated in Excel or Python
general_information,company_name,text,From project_list
general_information,date_filed,date,From project_list
general_information,document_type,text,From project_list
general_information,project_name,TEXT,Micro-prompt to openai-pinecone
general_information,country,TEXT,Micro-prompt to openai-pinecone
general_information,province,TEXT,Micro-prompt to openai-pinecone
general_information,district,TEXT,Micro-prompt to openai-pinecone
general_information,state,TEXT,Micro-prompt to openai-pinecone
general_information,effective_date,date,"Micro-prompt to openai-pinecone. Currently text, should be date"
general_information,original_filing_date,date,Micro-prompt to openai-pinecone
general_information,project_study_phase,TEXT,Micro-prompt to openai-pinecone
general_information,high_level_summary,TEXT,Micro-prompt to openai-pinecone
general_information,location_coordinates,TEXT,Micro-prompt to openai-pinecone
general_information,report_type,TEXT,Micro-prompt to openai-pinecone
general_information,commodity,TEXT[],former_project_names
general_information,language,TEXT,Micro-prompt to openai-pinecone
general_information,Python from project_list document_type,,aws_s3_path
general_information,S3 location of PDF,TEXT,pinecone_namespace
general_information,Name of Pinecone namespace (same as report_number),TEXT,upload_status
general_information,For pipeline monitoring,TEXT,campaign_name
general_information,last_updated,TIMESTAMP,"Name of drill campaign (e.g., '2023 Winter Program')"
critical_minerals_project_info,report_number,TEXT (PK),Links to general_information
critical_minerals_project_info,project_name,TEXT,Extracted from report
critical_minerals_project_info,report_year,INT,Year of report (parsed from effective/filing date)
critical_minerals_project_info,commodity_focus,TEXT,Primary commodity
critical_minerals_project_info,deposit_type,TEXT,From geology section
critical_minerals_project_info,geological_model,TEXT,Summary of geological model
critical_minerals_extracted_sc,report_number,TEXT (PK),FK to general_information
critical_minerals_extracted_sc,mineral_name,TEXT,"Name of mineral (e.g., Gold, Antimony)"
critical_minerals_extracted_sc,classification,TEXT,"One of: Primary, Co-Product, By-Product, Trace Potential, Critical, Security-Sensitive"
critical_minerals_extracted_sc,geological_association,TEXT,Host mineralization info
critical_minerals_extracted_sc,mentioned_in_section,TEXT,"Where in the report it is mentioned (e.g., Resource Section)"
critical_minerals_extracted_sc,economic_potential,TEXT,"e.g., 'Primary revenue driver', 'Impurity', etc."
critical_minerals_metallurgy_sc,report_number,TEXT (PK),FK to general_information
critical_minerals_metallurgy_sc,processing_method,TEXT,"Heap leach, flotation, etc."
critical_minerals_metallurgy_sc,recovery_rates,TEXT,Include as structured string or JSON if needed
critical_minerals_metallurgy_sc,penalties_impurities,TEXT,"E.g., arsenic, antimony"
critical_minerals_metallurgy_sc,byproduct_recovery_potential,TEXT,Notes on economic recovery potential
critical_minerals_market_risk,report_number,TEXT (PK),FK to general_information
critical_minerals_market_risk,has_critical_minerals,BOOLEAN,If any minerals in the report are listed on critical lists
critical_minerals_market_risk,has_security_sensitive_minerals,BOOLEAN,If any minerals are China-dominated or under export controls
critical_minerals_market_risk,government_incentives,TEXT,"Mentioned incentives for development, if any"
cost_table,report_number,TEXT (PK),FK to general_information
cost_table,total_initial_direct_capex,NUMERIC,Total initial direct capital expenditure
cost_table,total_initial_direct_capex_unit,TEXT,Unit for total initial direct capex
cost_table,total_initial_indirect_capex,NUMERIC,Total initial direct capital expenditure
cost_table,total_initial_indirect_capex_unit,TEXT,Unit for total initial direct capex
cost_table,total_sustaining_capex,NUMERIC,Total sustaining capital expenditure
cost_table,total_sustaining_capex_unit,TEXT,Unit for sustaining capex
cost_table,total_initial_overall_capex,NUMERIC,"Total initial overall capex (includes direct, indirect, contingency)"
cost_table,total_initial_overall_capex_unit,TEXT,Unit for overall capex
cost_table,closure_cost,NUMERIC,Closure cost
cost_table,closure_cost_unit,TEXT,Unit for closure cost
cost_table,mining_and_development_initial_direct_capex,NUMERIC,mining and mine development initial direct capital expenditure
cost_table,mining_and_development_initial_direct_capex_unit,TEXT,Unit for mining and mine development initial direct capex
cost_table,process_plant_initial_direct_capex,NUMERIC,process plant initial direct capital expenditure
cost_table,process_plant_initial_direct_capex_unit,TEXT,Unit for process plant initial direct capex
