table_name,column_name,type,notes
relationships,report_number,TEXT (PK),Unique ID generated in Excel or Python
relationships,company_name,text,From project_list
relationships,date_filed,date,From project_list
relationships,document_type,text,From project_list
relationships,project_name,TEXT,Micro-prompt to openai-pinecone
critical_minerals_metallurgy_sc,report_number,TEXT (PK),Links to general_information
critical_minerals_metallurgy_sc,project_name,TEXT,Extracted from report
critical_minerals_metallurgy_sc,report_year,INT,Year of report (parsed from effective/filing date)
critical_minerals_metallurgy_sc,commodity_focus,TEXT,Primary commodity
critical_minerals_metallurgy_sc,deposit_type,TEXT,From geology section
critical_minerals_market_plexity,report_number,TEXT (PK),FK to general_information
critical_minerals_market_plexity,mineral_name,TEXT,"Name of mineral (e.g., Gold, Antimony)"
critical_minerals_market_plexity,classification,TEXT,"One of: Primary, Co-Product, By-Product, Trace Potential, Critical, Security-Sensitive"
critical_minerals_market_plexity,geological_association,TEXT,Host mineralization info
critical_minerals_market_plexity,mentioned_in_section,TEXT,"Where in the report it is mentioned (e.g., Resource Section)"
cost_table,report_number,TEXT (PK),FK to general_information
cost_table,processing_method,TEXT,"Heap leach, flotation, etc."
cost_table,recovery_rates,TEXT,Include as structured string or JSON if needed
cost_table,penalties_impurities,TEXT,"E.g., arsenic, antimony"
cost_table,byproduct_recovery_potential,TEXT,Notes on economic recovery potential
financial_table,report_number,TEXT (PK),FK to general_information
financial_table,has_critical_minerals,BOOLEAN,If any minerals in the report are listed on critical lists
financial_table,has_security_sensitive_minerals,BOOLEAN,If any minerals are China-dominated or under export controls
financial_table,government_incentives,TEXT,"Mentioned incentives for development, if any"
financial_metrics_table,report_number,TEXT (PK),FK to general_information
financial_metrics_table,total_initial_direct_capex,NUMERIC,Total initial direct capital expenditure
financial_metrics_table,total_initial_direct_capex_unit,TEXT,Unit for total initial direct capex
financial_metrics_table,total_initial_indirect_capex,NUMERIC,Total initial direct capital expenditure
financial_metrics_table,total_initial_indirect_capex_unit,TEXT,Unit for total initial direct capex
conversion_rates_table,report_number,TEXT (PK),FK to general_information
conversion_rates_table,npv_pre_tax,NUMERIC,Net Present Value (pre-tax)
conversion_rates_table,npv_pre_tax_unit,TEXT,Currency or unit for pre-tax NPV
conversion_rates_table,npv_post_tax,NUMERIC,Net Present Value (post-tax)
conversion_rates_table,npv_post_tax_unit,TEXT,Currency or unit for post-tax NPV
